PRP$,RB,DT,JJ,NN,",",CC,VB,VBG,IN,.,NNP,NNS,PRP,VBP,MD,TO,VBZ,:,VBN,RP,WP,WRB,CD,WDT,PDT,JJR,RBR,VBD,UH,``,'',(,),JJS,EX,FW,RBS,NNPS,$,WP$,#,SYM,POS
8,13,24,19,30,9,10,10,6,30,15,11,9,30,10,3,8,4,0,2,3,1,1,0,0,0,0,0,8,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0
41,137,104,77,210,62,55,156,42,164,142,37,45,235,123,25,73,58,1,27,7,26,34,4,3,2,9,2,37,3,1,1,3,4,4,6,1,2,1,0,0,0,0,0
7,24,23,20,44,20,11,27,13,36,23,5,6,33,16,8,6,4,2,2,2,2,1,1,2,0,2,0,4,1,3,3,3,3,0,1,0,0,0,0,0,0,0,0
12,45,31,25,51,27,14,45,7,55,28,11,18,47,20,14,16,10,1,7,2,4,3,2,3,0,2,0,12,0,0,0,3,3,1,1,0,0,0,0,0,0,0,0
8,24,42,27,77,5,23,38,7,51,26,5,13,44,17,7,12,6,0,2,3,0,4,7,1,0,1,0,18,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
84,160,190,169,361,92,99,176,60,283,138,33,82,213,119,55,101,66,26,37,17,14,18,8,12,4,9,6,34,1,4,4,5,5,8,6,1,1,0,0,0,0,0,0
153,517,502,441,863,239,262,360,145,622,405,238,232,558,294,93,165,161,18,96,58,37,51,48,25,11,29,16,139,3,20,15,18,18,15,6,1,3,2,2,0,0,0,0
171,452,340,360,737,390,293,479,184,638,263,142,250,627,304,124,258,148,81,94,36,38,55,31,19,6,35,12,125,5,2,2,16,20,15,8,2,8,0,0,0,1,0,0
13,26,37,30,47,9,17,23,7,46,25,7,22,41,34,4,11,12,2,5,5,3,9,4,2,1,2,1,11,0,0,0,2,2,2,2,0,1,0,0,0,0,0,0
55,138,178,146,324,76,78,122,45,230,93,65,69,179,83,29,68,49,22,23,8,19,15,18,7,3,12,3,75,0,1,1,9,10,5,1,0,1,0,1,0,0,1,0
4,9,3,10,16,2,2,7,2,10,5,6,3,20,12,3,2,3,0,2,1,0,3,1,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
10,21,24,31,40,20,15,18,11,43,25,12,20,33,18,6,8,11,0,4,1,0,3,3,3,1,6,0,10,2,0,0,2,2,0,1,2,0,1,0,0,0,0,0
4,12,7,5,9,0,4,3,1,6,8,2,0,7,6,0,1,4,0,0,1,0,1,1,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,44,48,45,80,0,36,46,15,50,30,21,33,48,24,9,31,26,1,12,2,4,3,9,0,0,5,0,19,0,1,1,1,1,6,2,0,1,0,0,0,0,0,0
36,110,101,101,163,52,53,98,36,158,113,42,52,168,81,21,65,41,3,19,12,10,5,13,6,1,11,4,46,2,6,6,2,3,2,2,0,1,0,0,1,0,0,0
6,9,13,5,24,5,9,18,6,18,5,0,6,21,15,5,10,3,2,3,0,1,1,1,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0
21,60,69,70,135,57,26,104,22,119,56,29,42,120,59,29,36,23,19,14,5,4,5,11,7,0,10,3,16,0,5,3,12,12,1,4,2,0,0,0,0,0,0,0
122,539,380,327,650,233,267,367,221,670,412,125,205,909,495,104,214,176,13,129,62,36,59,52,16,2,40,11,149,2,1,1,10,2,13,8,1,2,0,1,0,0,0,0
2,7,4,1,9,4,5,4,3,3,6,5,2,4,5,0,4,0,0,3,1,1,1,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
98,273,270,192,473,228,178,276,83,339,174,82,101,477,198,82,95,78,10,31,33,27,28,38,8,4,19,3,114,1,7,8,3,3,8,4,2,3,0,6,0,0,0,0
2,10,10,16,15,3,10,13,6,14,16,7,8,23,13,1,7,5,0,1,0,2,2,1,0,1,1,1,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
17,40,32,33,66,30,26,34,15,51,30,18,12,58,33,5,29,15,1,2,5,4,1,2,1,0,1,0,7,1,1,2,1,1,1,1,0,0,0,0,0,0,0,0
26,145,113,75,157,51,55,121,32,126,166,33,46,237,120,36,50,54,19,25,6,16,18,5,6,2,8,4,41,0,0,0,4,5,9,4,0,1,0,0,0,0,0,0
2,14,15,10,24,11,5,8,4,15,11,8,4,28,9,6,3,7,2,1,2,2,2,0,1,1,1,0,9,0,0,0,2,2,0,0,0,1,0,0,0,0,0,0
47,121,114,101,175,69,70,133,38,194,126,50,44,207,92,32,71,40,17,22,12,18,14,5,3,1,6,0,45,2,4,4,9,9,3,5,2,0,0,0,0,0,0,0
19,25,28,35,49,30,19,25,14,38,32,23,14,50,18,7,11,9,4,7,2,5,2,0,4,0,1,2,21,0,2,2,0,0,2,3,0,0,0,0,0,0,0,0
70,164,90,89,167,69,67,114,46,176,175,60,56,262,116,25,64,38,5,29,16,8,15,9,5,3,12,3,63,1,0,0,1,4,8,1,0,1,1,0,0,0,0,0
37,72,60,47,114,12,33,44,19,97,73,17,30,94,52,11,26,28,1,14,6,5,6,2,2,1,2,2,24,0,3,3,1,1,2,0,0,1,0,1,0,0,0,0
32,46,59,61,103,59,37,41,9,78,45,18,31,82,38,11,28,18,9,10,8,3,5,11,6,0,6,2,21,1,1,1,3,4,4,0,1,0,0,0,0,0,0,0
41,169,155,145,252,90,86,143,59,236,88,66,88,192,94,39,73,40,2,23,12,14,10,8,10,3,13,7,54,2,6,4,5,8,8,1,1,0,0,0,1,0,0,0
8,21,30,21,47,15,16,9,3,44,19,13,9,21,15,1,6,7,1,8,0,0,0,6,1,0,5,2,9,0,2,2,0,0,3,3,0,1,0,0,0,0,0,0
34,73,101,96,185,26,54,95,32,137,88,52,54,138,89,27,43,36,12,17,8,11,11,5,9,2,4,4,26,1,0,0,6,7,0,3,0,0,1,0,0,0,0,0
94,253,320,301,455,229,158,280,125,499,161,129,170,281,184,100,153,91,16,59,15,26,37,25,23,4,4,10,42,1,0,0,10,10,19,9,1,8,0,0,0,0,1,0
2,7,9,7,11,3,5,7,3,14,12,2,6,27,12,0,5,2,0,2,1,0,1,2,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,6,8,1,6,4,1,6,0,5,3,0,2,4,2,1,2,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
26,53,46,55,80,51,30,60,19,66,52,22,19,70,40,8,31,14,8,8,5,4,4,3,3,0,2,2,24,0,3,3,2,3,2,2,0,1,0,0,0,0,0,0
28,69,53,63,99,9,37,48,20,103,46,12,30,98,49,10,22,23,2,6,7,2,9,4,3,1,5,4,17,0,5,5,1,1,0,3,0,1,0,0,0,0,0,0
49,113,115,92,204,79,64,122,43,171,162,58,59,228,90,28,51,45,20,25,13,9,20,15,12,3,4,3,60,4,0,0,2,6,4,3,1,1,0,1,0,0,0,0
12,18,23,27,52,11,11,20,11,59,23,19,9,40,20,3,14,14,0,8,4,0,2,1,2,1,4,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2,8,10,11,21,11,6,7,2,11,11,7,2,12,8,2,2,2,2,3,0,1,1,1,0,0,0,1,4,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0
160,346,359,380,791,228,237,395,130,501,398,421,163,543,348,103,213,172,118,87,28,30,31,45,18,5,16,8,70,3,32,30,47,56,3,14,5,0,6,0,1,1,0,0
5,24,25,18,49,11,14,14,3,25,16,6,10,23,12,5,7,4,6,2,3,3,2,0,1,0,1,0,16,0,2,2,3,3,2,1,0,0,0,0,0,0,0,0
10,20,21,22,36,17,9,16,11,33,15,11,10,24,13,3,11,10,0,4,1,1,2,3,0,0,0,0,13,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
132,365,422,361,785,311,256,571,163,596,224,158,202,714,403,157,257,141,64,82,60,44,66,40,19,3,24,9,84,3,13,13,8,8,12,9,4,1,0,1,0,0,0,0
48,222,178,202,294,123,91,174,48,272,150,86,67,212,107,55,91,75,33,31,10,20,30,15,8,4,9,5,38,1,0,0,21,22,3,10,0,4,1,0,0,0,0,0
5,14,15,14,25,5,10,14,3,23,12,9,6,21,10,8,3,8,5,3,3,1,1,2,3,1,0,0,1,0,1,1,1,2,2,2,0,0,0,0,0,0,0,0
67,179,140,138,239,63,68,139,61,219,147,67,82,211,143,24,82,38,23,20,10,7,24,8,3,3,5,2,27,0,3,4,10,11,9,5,1,0,0,0,0,0,0,0
86,230,181,148,366,135,90,271,85,284,229,130,83,371,165,80,142,84,32,24,35,25,32,17,10,4,12,6,32,5,2,2,6,25,14,3,0,2,0,1,0,0,0,0
10,19,18,26,38,0,14,20,3,42,28,4,14,33,19,6,9,10,1,2,2,3,2,3,0,0,0,0,4,0,0,1,1,1,0,2,0,1,0,0,0,0,0,0
0,0,2,1,6,0,0,4,1,2,2,0,1,3,2,1,3,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
8,22,25,21,34,22,15,28,8,38,23,6,20,45,17,14,11,10,1,4,1,8,6,2,0,4,0,0,6,1,5,5,1,1,2,3,1,0,1,0,0,0,0,0
15,31,40,42,71,15,22,26,6,44,30,6,18,35,22,8,16,12,1,9,1,0,4,2,5,0,3,1,10,1,0,0,1,1,1,2,0,0,0,0,0,0,0,0
32,97,106,120,192,36,34,76,29,148,102,20,45,104,97,20,58,39,0,27,3,13,10,5,5,0,2,1,14,0,9,7,0,0,0,1,0,0,0,0,0,0,0,0
37,149,158,142,258,32,98,120,84,253,100,45,70,238,112,13,89,59,6,35,7,17,23,19,10,1,10,9,90,1,1,1,3,3,4,2,0,2,0,0,1,0,0,0
16,39,43,32,73,13,18,23,6,51,73,20,18,53,32,6,7,11,10,6,4,2,11,7,1,0,3,2,20,0,1,1,3,4,1,2,0,0,0,0,0,0,0,0
162,360,411,388,731,198,185,371,123,655,372,165,273,568,287,147,192,163,52,88,41,39,53,40,29,4,31,9,136,2,21,23,21,23,29,12,8,1,1,0,0,0,0,0
63,187,161,152,321,93,96,199,62,295,159,77,101,279,160,35,109,58,24,28,15,13,32,21,5,4,11,2,70,1,8,6,7,8,2,5,0,2,2,0,0,0,0,0
22,54,31,36,63,28,29,46,13,61,35,18,12,73,37,10,28,13,0,9,4,1,6,1,0,0,3,2,25,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
158,420,430,436,834,310,263,467,124,637,366,151,279,471,279,134,234,137,7,75,39,43,46,23,25,3,25,12,114,5,2,2,4,4,22,21,3,2,0,0,0,0,0,0
14,21,22,14,39,19,16,29,7,39,21,1,7,52,19,9,9,9,2,1,1,2,5,2,2,0,3,0,10,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
11,31,19,14,29,6,13,31,9,41,25,8,13,63,36,6,20,3,0,6,0,1,7,0,0,0,1,1,6,0,1,1,0,0,2,0,0,0,0,0,0,0,0,0
52,152,159,107,259,68,79,158,62,212,131,69,69,298,157,34,99,72,45,36,14,23,19,5,9,0,10,5,73,1,0,0,3,16,5,3,1,1,0,0,0,0,0,0
1,2,5,0,8,0,3,3,0,4,9,4,0,8,5,1,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,42,47,25,83,19,24,50,13,76,32,10,22,62,25,20,21,14,1,15,5,4,4,4,1,1,1,0,13,0,1,1,0,0,2,2,0,0,0,0,0,0,0,0
20,28,48,26,64,8,19,33,12,67,20,13,18,68,24,9,24,12,7,7,2,3,11,3,0,0,2,0,30,0,0,0,1,1,1,1,0,2,0,0,0,0,0,0
14,37,40,24,67,23,17,30,7,56,35,19,22,60,30,10,15,20,2,11,4,9,3,4,2,1,1,1,20,1,0,0,1,1,0,1,0,1,1,1,0,0,0,0
50,121,135,108,240,72,60,94,51,179,119,80,72,183,100,28,47,46,2,36,16,13,20,11,5,4,6,3,50,4,2,2,0,0,4,6,0,2,1,0,0,0,0,0
85,405,307,268,499,226,168,324,133,448,221,119,180,418,243,121,134,94,60,47,31,27,30,34,17,5,24,3,83,1,14,15,22,32,18,16,2,0,0,3,0,1,0,0
102,579,377,336,765,479,273,504,196,608,402,236,196,625,334,94,256,135,95,67,39,53,48,17,27,3,24,12,115,18,39,39,63,69,17,8,15,1,2,1,0,0,1,0
9,19,19,15,34,10,10,16,7,21,22,4,8,31,15,7,5,7,0,8,2,2,2,0,1,0,1,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
14,38,47,47,85,37,33,56,16,53,30,11,19,57,26,16,21,16,8,13,5,3,6,3,1,1,3,0,7,0,3,1,2,4,2,1,0,0,0,1,0,0,0,0
6,28,16,25,26,14,8,22,9,21,18,9,10,40,17,7,14,5,0,4,1,0,8,5,0,0,0,0,5,1,3,4,0,0,1,0,0,0,0,0,0,0,0,0
51,141,137,159,224,48,75,160,51,224,145,46,100,220,131,47,78,46,3,35,6,15,15,9,8,3,4,7,42,0,2,2,1,1,2,6,0,1,0,0,0,0,0,0
32,87,54,48,137,60,46,98,23,100,86,37,41,139,73,20,40,12,6,10,8,16,13,9,1,0,3,1,38,0,2,2,4,4,4,2,1,0,2,0,0,0,0,0
8,51,41,41,56,12,14,45,9,57,81,20,24,112,60,13,19,19,1,9,3,16,6,2,7,0,1,2,27,2,2,2,0,0,1,1,0,0,0,0,0,0,0,0
5,23,28,27,51,4,14,19,16,37,21,7,7,38,23,2,11,15,3,3,0,0,1,0,3,1,0,0,9,0,5,5,3,3,0,2,0,0,0,0,0,0,0,0
139,373,353,332,657,245,207,378,135,497,290,84,197,533,270,109,163,185,38,75,40,42,43,17,31,4,16,9,39,3,28,28,12,12,6,20,2,2,0,0,0,0,1,6
183,358,385,281,711,161,182,425,172,530,335,193,207,686,305,105,207,110,19,84,40,47,38,51,18,7,19,8,190,6,19,17,4,7,7,10,0,0,0,0,0,0,0,0
181,542,459,510,1007,5,329,425,156,585,14,86,292,470,481,110,202,226,12,167,47,42,75,61,21,5,29,17,146,0,7,7,6,6,20,13,0,3,1,0,0,0,0,0
8,34,37,32,73,17,20,27,17,56,20,11,15,42,15,11,16,10,1,12,8,4,4,4,0,0,2,4,18,0,0,0,1,1,3,0,0,0,0,0,0,0,0,0
188,323,408,349,775,231,205,463,218,689,408,160,276,663,351,69,328,116,47,71,63,70,58,47,14,2,25,12,179,1,7,5,15,23,13,10,2,2,2,0,0,0,0,0
96,245,285,220,502,183,106,226,76,394,204,71,139,402,235,67,108,81,43,45,15,32,26,19,15,4,15,11,87,1,14,16,16,17,13,12,3,0,0,0,0,0,0,0
1,10,11,11,18,3,7,9,3,15,6,7,5,9,6,5,7,5,0,2,2,2,0,0,0,0,0,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0
4,24,16,22,40,0,13,24,7,23,21,16,5,29,13,5,10,11,2,2,1,0,4,1,1,0,0,0,7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
23,57,48,61,98,23,32,51,17,67,68,24,34,82,38,15,24,22,8,7,3,2,5,3,5,1,4,3,10,0,1,1,1,6,1,1,0,1,0,0,0,0,0,0
